catalog_id,work_id,title,author,alternate_titles,author_aliases,edition,publication_year
BK0023,WORK0019,Clean Code,Robert C. Martin,Clean Code: A Handbook of Agile Software Craftsmanship,"Uncle Bob|Martin, Robert C.|Robert Cecil Martin",Prentice Hall Hardcover,2008
BK0024,WORK0019,Clean Code,Robert C. Martin,Clean Code: Collector's Edition,"Uncle Bob|Martin, Robert C.|Robert Cecil Martin",Special Collector Edition,2018
BK0025,WORK0020,The Clean Coder,Robert C. Martin,The Clean Coder: A Code of Conduct for Professional Programmers,"Uncle Bob|Martin, Robert C.|Robert Cecil Martin",Prentice Hall Paperback,2011
BK0026,WORK0021,Clean Architecture,Robert C. Martin,Clean Architecture: A Craftsman's Guide to Software Structure and Design,"Uncle Bob|Martin, Robert C.|Robert Cecil Martin",Prentice Hall Paperback,2017
BK0027,WORK0022,The Island,Aldous Huxley,,"Huxley, Aldous|Aldous Leonard Huxley",Chatto & Windus Hardcover,1962
BK0028,WORK0023,The Island,Victoria Hislop,,"Hislop, Victoria",Headline Paperback,2005
BK0029,WORK0024,The Island,Peter Benchley,,"Benchley, Peter",Doubleday Hardcover,1979
BK0030,WORK0025,Nemesis,Isaac Asimov,,"Asimov, Isaac",Bantam Spectra Hardcover,1989
BK0031,WORK0026,Nemesis,Agatha Christie,,"Christie, Agatha|Agatha Mary Clarissa Christie",Collins Crime Club,1971
BK0032,WORK0027,Nemesis,Philip Roth,,"Roth, Philip|Philip Milton Roth",Houghton Mifflin Harcourt,2010
BK0033,WORK0028,Inferno,Dante Alighieri,Dante's Inferno|Divine Comedy: Inferno,"Dante|Alighieri, Dante",Penguin Classics Translation,1320
BK0034,WORK0029,Inferno,Dan Brown,,"Brown, Dan|Daniel Gerhard Brown",Doubleday Hardcover,2013
BK0035,WORK0030,Steve Jobs,Walter Isaacson,,"Isaacson, Walter",Simon & Schuster Hardcover,2011
BK0036,WORK0031,Steve Jobs: The Exclusive Biography,Walter Isaacson,Steve Jobs,"Isaacson, Walter",UK Paperback Edition,2011
BK0037,WORK0032,Becoming,Michelle Obama,,"Obama, Michelle|Michelle LaVaughn Robinson Obama",Crown Hardcover,2018
BK0038,WORK0033,Becoming Supernatural,Joe Dispenza,Becoming Supernatural: How Common People Are Doing the Uncommon,"Dispenza, Joe|Dr. Joe Dispenza",Hay House Paperback,2017
BK0039,WORK0034,It,Stephen King,,"King, Stephen|Stephen Edwin King",Viking Hardcover,1986
BK0040,WORK0035,It Ends with Us,Colleen Hoover,,"Hoover, Colleen",Atria Paperback,2016
BK0041,WORK0036,1984,George Orwell,Nineteen Eighty-Four,"Orwell, George|Eric Arthur Blair",Secker & Warburg Hardcover,1949
BK0042,WORK0037,Animal Farm,George Orwell,Animal Farm: A Fairy Story,"Orwell, George|Eric Arthur Blair",Secker & Warburg Hardcover,1945
BK0043,WORK0038,Brave New World,Aldous Huxley,,"Huxley, Aldous|Aldous Leonard Huxley",Chatto & Windus,1932
BK0044,WORK0039,Fahrenheit 451,Ray Bradbury,,"Bradbury, Ray|Raymond Douglas Bradbury",Ballantine Books,1953
BK0045,WORK0040,To Kill a Mockingbird,Harper Lee,,"Lee, Harper|Nelle Harper Lee",J. B. Lippincott & Co.,1960
BK0046,WORK0041,The Great Gatsby,F. Scott Fitzgerald,,"Fitzgerald, F. Scott|Francis Scott Key Fitzgerald|F Scott Fitzgerald",Charles Scribner's Sons,1925
BK0047,WORK0042,The Catcher in the Rye,J. D. Salinger,,"Salinger, J. D.|J.D. Salinger|Jerome David Salinger","Little, Brown and Company",1951
BK0048,WORK0043,Crime and Punishment,Fyodor Dostoevsky,Crime & Punishment,"Fyodor Dostoyevsky|F. M. Dostoevsky|Dostoevsky, Fyodor|Feodor Dostoevsky",Penguin Classics,1866
BK0049,WORK0044,The Brothers Karamazov,Fyodor Dostoevsky,,"Fyodor Dostoyevsky|F. M. Dostoevsky|Dostoevsky, Fyodor","Farrar, Straus and Giroux",1880
BK0050,WORK0045,War and Peace,Leo Tolstoy,,"Tolstoy, Leo|Lev Nikolayevech Tolstoy|Count Lev Nikolayevich Tolstoy",Oxford World's Classics,1869
BK0051,WORK0046,Anna Karenina,Leo Tolstoy,,"Tolstoy, Leo|Lev Nikolayevech Tolstoy",Penguin Classics,1878
BK0052,WORK0047,The Pragmatic Programmer,Andrew Hunt,The Pragmatic Programmer: From Journeyman to Master,"Andy Hunt|Hunt, Andrew and Thomas, David|David Thomas|Dave Thomas",Addison-Wesley Hardcover,1999
BK0053,WORK0047,The Pragmatic Programmer,Andrew Hunt,The Pragmatic Programmer: 20th Anniversary Edition,"Andy Hunt|Hunt, Andrew and Thomas, David|David Thomas|Dave Thomas",20th Anniversary Edition,2019
BK0054,WORK0048,Design Patterns,Erich Gamma,Design Patterns: Elements of Reusable Object-Oriented Software,"Gang of Four|GoF|Gamma, Erich|Erich Gamma et al.",Addison-Wesley Professional,1994
BK0055,WORK0049,Refactoring,Martin Fowler,Refactoring: Improving the Design of Existing Code,"Fowler, Martin",Addison-Wesley Professional,1999
BK0056,WORK0050,Introduction to Algorithms,Thomas H. Cormen,CLRS|Introduction to Algorithms 3rd Edition,"Cormen, Thomas H.|Thomas H Cormen|T. H. Cormen",MIT Press Hardcover,2009
BK0057,WORK0051,Structure and Interpretation of Computer Programs,Harold Abelson,SICP|Wizard Book,"Abelson, Harold|Hal Abelson|Gerald Jay Sussman",MIT Press,1985
BK0058,WORK0052,Code Complete,Steve McConnell,Code Complete: A Practical Handbook of Software Construction,"McConnell, Steve",Microsoft Press,2004
BK0059,WORK0053,Designing Data-Intensive Applications,Martin Kleppmann,DDIA,"Kleppmann, Martin",O'Reilly Media,2017
BK0060,WORK0054,You Don't Know JS,Kyle Simpson,You Don't Know JS: Scope & Closures,"Simpson, Kyle|Getify",O'Reilly Media,2014
BK0061,WORK0055,Atomic Habits,James Clear,Atomic Habits: An Easy & Proven Way to Build Good Habits & Break Bad Ones,"Clear, James",Avery Hardcover,2018
BK0062,WORK0056,"Thinking, Fast and Slow",Daniel Kahneman,Thinking Fast and Slow,"Kahneman, Daniel","Farrar, Straus and Giroux",2011
BK0063,WORK0057,Sapiens,Yuval Noah Harari,Sapiens: A Brief History of Humankind,"Harari, Yuval Noah|Yuval Harari",Harper,2014
BK0064,WORK0058,Homo Deus,Yuval Noah Harari,Homo Deus: A Brief History of Tomorrow,"Harari, Yuval Noah|Yuval Harari",Harper,2016
BK0065,WORK0059,21 Lessons for the 21st Century,Yuval Noah Harari,,"Harari, Yuval Noah|Yuval Harari",Spiegel & Grau,2018
BK0066,WORK0060,The Power of Habit,Charles Duhigg,The Power of Habit: Why We Do What We Do in Life and Business,"Duhigg, Charles",Random House,2012
BK0067,WORK0061,Deep Work,Cal Newport,Deep Work: Rules for Focused Success in a Distracted World,"Newport, Cal",Grand Central Publishing,2016
BK0068,WORK0062,So Good They Can't Ignore You,Cal Newport,,"Newport, Cal",Business Plus,2012
BK0069,WORK0063,Man's Search for Meaning,Viktor E. Frankl,Man's Search for Meaning: An Introduction to Logotherapy,"Frankl, Viktor E.|Viktor Frankl",Beacon Press,1946
BK0070,WORK0064,Meditations,Marcus Aurelius,,"Aurelius, Marcus|Marcus Aurelius Antoninus",Penguin Classics,180
BK0071,WORK0065,The Art of War,Sun Tzu,,Sunzi|Sun-Tzu|Sun Tzu,Shambhala Publications,-500
BK0072,WORK0066,The Prince,Niccolò Machiavelli,,"Machiavelli, Niccolo|Niccolo Machiavelli",Dover Publications,1532
BK0073,WORK0067,Zero to One,Peter Thiel,"Zero to One: Notes on Startups, or How to Build the Future","Thiel, Peter|Peter Thiel with Blake Masters",Currency Hardcover,2014
BK0074,WORK0068,The Lean Startup,Eric Ries,The Lean Startup: How Today's Entrepreneurs Use Continuous Innovation to Create Radically Successful Businesses,"Ries, Eric",Crown Business,2011
BK0075,WORK0069,Good to Great,Jim Collins,Good to Great: Why Some Companies Make the Leap... and Others Don't,"Collins, Jim|James C. Collins",HarperBusiness,2001
BK0076,WORK0070,Built to Last,Jim Collins,Built to Last: Successful Habits of Visionary Companies,"Collins, Jim|James C. Collins and Jerry I. Porras",HarperBusiness,1994
BK0077,WORK0071,The Hard Thing About Hard Things,Ben Horowitz,The Hard Thing About Hard Things: Building a Business When There Are No Easy Answers,"Horowitz, Ben",HarperBusiness,2014
BK0078,WORK0072,Principles,Ray Dalio,Principles: Life and Work,"Dalio, Ray",Simon & Schuster,2017
BK0079,WORK0073,Shoe Dog,Phil Knight,Shoe Dog: A Memoir by the Creator of Nike,"Knight, Phil",Scribner,2016
BK0080,WORK0074,The Innovator's Dilemma,Clayton M. Christensen,,"Christensen, Clayton M.|Clayton Christensen",Harvard Business Review Press,1997
BK0081,WORK0075,Influence,Robert B. Cialdini,Influence: The Psychology of Persuasion,"Cialdini, Robert B.|Robert Cialdini",Harper Business,1984
BK0082,WORK0076,Never Split the Difference,Chris Voss,Never Split the Difference: Negotiating As If Your Life Depended On It,"Voss, Chris|Chris Voss with Tahl Raz",HarperBusiness,2016
BK0083,WORK0077,"Guns, Germs, and Steel",Jared Diamond,"Guns, Germs, and Steel: The Fates of Human Societies","Diamond, Jared|Jared M. Diamond",W. W. Norton & Company,1997
BK0084,WORK0078,The Selfish Gene,Richard Dawkins,,"Dawkins, Richard",Oxford University Press,1976
BK0085,WORK0079,A Brief History of Time,Stephen Hawking,A Brief History of Time: From the Big Bang to Black Holes,"Hawking, Stephen|Stephen W. Hawking",Bantam Books,1988
BK0086,WORK0080,Cosmos,Carl Sagan,,"Sagan, Carl",Random House,1980
BK0087,WORK0081,"Godel, Escher, Bach",Douglas R. Hofstadter,"GEB|Godel, Escher, Bach: An Eternal Golden Braid","Hofstadter, Douglas R.|Douglas Hofstadter",Basic Books,1979
BK0088,WORK0082,The Code Breaker,Walter Isaacson,"The Code Breaker: Jennifer Doudna, Gene Editing, and the Future of the Human Race","Isaacson, Walter",Simon & Schuster,2021
BK0089,WORK0083,Leonardo da Vinci,Walter Isaacson,,"Isaacson, Walter",Simon & Schuster,2017
BK0090,WORK0084,Einstein,Walter Isaacson,Einstein: His Life and Universe,"Isaacson, Walter",Simon & Schuster,2007
BK0091,WORK0085,A Game of Thrones,George R. R. Martin,A Song of Ice and Fire: Book 1,"George R.R. Martin|G. R. R. Martin|Martin, George R. R.",Bantam Spectra,1996
BK0092,WORK0086,A Clash of Kings,George R. R. Martin,A Song of Ice and Fire: Book 2,"George R.R. Martin|G. R. R. Martin|Martin, George R. R.",Bantam Spectra,1998
BK0093,WORK0087,A Storm of Swords,George R. R. Martin,A Song of Ice and Fire: Book 3,"George R.R. Martin|G. R. R. Martin|Martin, George R. R.",Bantam Spectra,2000
BK0094,WORK0088,A Song of Ice and Fire: Books 1-3,George R. R. Martin,A Game of Thrones / A Clash of Kings / A Storm of Swords Box Set,"George R.R. Martin|G. R. R. Martin|Martin, George R. R.",3-Book Boxed Collector Set,2002
BK0095,WORK0089,Hyperion,Dan Simmons,Hyperion Cantos: Book 1,"Simmons, Dan",Bantam Spectra,1989
BK0096,WORK0090,The Fall of Hyperion,Dan Simmons,Hyperion Cantos: Book 2,"Simmons, Dan",Bantam Spectra,1990
BK0097,WORK0091,Neuromancer,William Gibson,Sprawl Trilogy: Book 1,"Gibson, William",Ace Books,1984
BK0098,WORK0092,Snow Crash,Neal Stephenson,,"Stephenson, Neal",Bantam Spectra,1992
BK0099,WORK0093,Cryptonomicon,Neal Stephenson,,"Stephenson, Neal",Avon Books,1999
BK0100,WORK0094,The Name of the Wind,Patrick Rothfuss,The Kingkiller Chronicle: Day One,"Rothfuss, Patrick",DAW Books,2007
BK0101,WORK0095,The Wise Man's Fear,Patrick Rothfuss,The Kingkiller Chronicle: Day Two,"Rothfuss, Patrick",DAW Books,2011
BK0102,WORK0096,The Way of Kings,Brandon Sanderson,The Stormlight Archive: Book 1,"Sanderson, Brandon",Tor Books,2010
BK0103,WORK0097,Words of Radiance,Brandon Sanderson,The Stormlight Archive: Book 2,"Sanderson, Brandon",Tor Books,2014
BK0104,WORK0098,Mistborn: The Final Empire,Brandon Sanderson,Mistborn: Book 1|The Final Empire,"Sanderson, Brandon",Tor Books,2006
BK0105,WORK0099,The Well of Ascension,Brandon Sanderson,Mistborn: Book 2,"Sanderson, Brandon",Tor Books,2007
BK0106,WORK0100,The Hero of Ages,Brandon Sanderson,Mistborn: Book 3,"Sanderson, Brandon",Tor Books,2008
BK0107,WORK0101,The Mistborn Trilogy,Brandon Sanderson,Mistborn Boxed Set: Books 1-3,"Sanderson, Brandon",Tor Three-in-One Omnibus,2009
BK0108,WORK0102,The Three-Body Problem,Cixin Liu,Three Body Problem|Remembrance of Earth's Past: Book 1,"Liu, Cixin|Liu Cixin|Cixin, Liu",Tor Books,2014
BK0109,WORK0103,The Dark Forest,Cixin Liu,Remembrance of Earth's Past: Book 2,"Liu, Cixin|Liu Cixin",Tor Books,2015
BK0110,WORK0104,Death's End,Cixin Liu,Remembrance of Earth's Past: Book 3,"Liu, Cixin|Liu Cixin",Tor Books,2016
BK0111,WORK0105,Ender's Game,Orson Scott Card,,"Card, Orson Scott",Tor Books,1985
BK0112,WORK0106,Speaker for the Dead,Orson Scott Card,,"Card, Orson Scott",Tor Books,1986
BK0113,WORK0107,Fahrenheit 451,Ray Bradbury,Fahrenheit 451: 60th Anniversary Edition,"Bradbury, Ray|Raymond Douglas Bradbury",60th Anniversary Hardcover,2013
BK0114,WORK0108,Slaughterhouse-Five,Kurt Vonnegut,"Slaughterhouse 5|Slaughterhouse-Five, or The Children's Crusade","Vonnegut, Kurt|Kurt Vonnegut Jr.",Delacorte,1969
BK0115,WORK0109,The Road,Cormac McCarthy,,"McCarthy, Cormac",Alfred A. Knopf,2006
BK0116,WORK0110,No Country for Old Men,Cormac McCarthy,,"McCarthy, Cormac",Alfred A. Knopf,2005
BK0117,WORK0111,The Hitchhiker's Guide to the Galaxy,Douglas Adams,H2G2|Hitchhiker's Guide to the Galaxy: Book 1,"Adams, Douglas|Douglas Noel Adams",Pan Books,1979
BK0118,WORK0112,The Restaurant at the End of the Universe,Douglas Adams,H2G2: Book 2,"Adams, Douglas|Douglas Noel Adams",Pan Books,1980
BK0119,WORK0113,The Ultimate Hitchhiker's Guide to the Galaxy,Douglas Adams,The Ultimate Hitchhiker's Guide|Hitchhiker Omnibus,"Adams, Douglas|Douglas Noel Adams",Five-Novel Omnibus Edition,1997
BK0120,WORK0114,Freakonomics,Steven D. Levitt,Freakonomics: A Rogue Economist Explores the Hidden Side of Everything,"Levitt, Steven D. and Dubner, Stephen J.|Steven Levitt|Stephen Dubner",William Morrow,2005
BK0121,WORK0115,Outliers,Malcolm Gladwell,Outliers: The Story of Success,"Gladwell, Malcolm","Little, Brown and Company",2008
BK0122,WORK0116,Blink,Malcolm Gladwell,Blink: The Power of Thinking Without Thinking,"Gladwell, Malcolm","Little, Brown and Company",2005
BK0123,WORK0117,The Tipping Point,Malcolm Gladwell,The Tipping Point: How Little Things Can Make a Big Difference,"Gladwell, Malcolm","Little, Brown and Company",2000
BK0124,WORK0118,Quiet,Susan Cain,Quiet: The Power of Introverts in a World That Can't Stop Talking,"Cain, Susan",Crown Publishing,2012
BK0125,WORK0119,The Subtle Art of Not Giving a F*ck,Mark Manson,The Subtle Art of Not Giving a Fuck,"Manson, Mark",HarperOne,2016
